,skills
263,Reuters
263,ssi
263,Client Reference Data
263,Microsoft Excel
264,Powerpoint
264,Alteryx
264,Confluence
264,Tableau
264,Jira
264,Excel
265,Pmp
265,SAP implementation methodologies
265,Cbap
265,Prince2
265,Sap Data Migration
265,Itil
266,Powerbi
266,Azure
266,Sql
267,Investment Data Domain Knowledge
267,Data Quality Checks
267,Documentation Support
267,data reconciliation
267,Data Management
267,Oracle Pl Sql
268,Power Apps
268,Git
268,Data Factory
268,Power Bi
268,Databricks
268,Python
268,Sql
268,Azure DevOps
269,Powerbi
269,Azure
269,Sql
270,Power Apps
270,Git
270,Data Factory
270,Power Bi
270,Databricks
270,Python
270,Sql
270,Azure DevOps
271,Investment Data Domain Knowledge
271,Data Quality Checks
271,Documentation Support
271,data reconciliation
271,Data Management
271,Oracle Pl Sql
272,Data Migration
272,Data Cleansing
272,Python
272,Sql
273,Power Bi
273,Tableau
273,Python
273,Sql
274,MSSQL Server Management Studio
274,Data quality principles
274,Crm Systems
274,Master Data Management
274,Data management tools
274,Sql Queries
274,Power Bi
274,Microsoft Sql Server
274,Data Governance
274,Excel
275,Linux
275,SQL Server
275,Windows
275,Python
275,AWS
276,Risk management principles
277,Qualitative Research
277,Data collection methods
277,Data Analysis
277,Quantitative Research
277,Market research
277,Interpretation
277,Data management tools
277,Report Writing
277,survey design
277,BI Visualization tools
277,Tableau
277,Sql
278,modernization of legacy systems
278,cloud-based solutions
278,Design Thinking
278,pre-processing
278,feature engineering
278,interactive dashboards
278,Data Manipulation
278,Power Bi
278,Big Data Technologies
278,Enterprise Architecture
278,Service Design
278,Tableau
278,Data Cleansing
278,Etl Tools
278,Data Visualization
278,Python
279,data engineering
279,Unit Testing
279,Machine Learning Algorithms
279,Data Analytics
279,Python
280,data engineering
280,Unit Testing
280,Machine Learning Algorithms
280,Data Analytics
280,Python
281,Informatica IDMC
281,Data Cataloguing
281,Hadoop
281,Power Bi
281,Apache Spark
281,Tableau
281,Data Warehouse
281,Devops
281,Git
281,Docker
281,Advanced Analytics
281,Databricks
281,Aws Cloud
281,Data Governance
281,Kubernetes
282,data quality principles
282,data governance best practices
282,Python
282,Sql
283,Data Quality Monitoring
283,Data Governance
283,Microsoft Excel
284,Data Analysis
284,Kanban
284,Sybase
284,Scrum
284,Jira
284,Tsql
284,Oracle
284,Sql
285,Oracle System
285,Other ERP software
285,data visualization tools
285,automation
285,Oracle Ebs
285,Microsoft Excel
285,Sql
285,ELT
285,Etl
286,Cisco CCNP certification
286,Chef
286,Cisco products
286,optimization technologies
286,network routing and switching technologies
286,Algosec
286,network automation
286,Routers
286,network security
286,Switches
286,Bluecoat Proxy
286,Wlan
286,Cisco Aci
286,Palo Alto
286,Ansible
286,F5 Load Balancer
286,Checkpoint Firewall
286,Load Balancing
287,HPE Compute
287,Chef
287,VMWare
287,Puppet
287,Veeam
287,Powershell
287,Itil
287,Ansible
287,Json
287,Netbackup
287,AWS
287,Vsan
287,Python
287,Azure
287,Gcp
288,Data Quality Management
288,Business Analysis
288,Testing and Validation
288,It Service Management
288,Data Migration
288,Performance Monitoring
289,Sap Erp
289,Data Process Analytics Systems
289,SalesForce
289,Power Bi
289,Requirements Gathering
289,Microsoft Azure
289,Data Warehousing
289,Data Modelling
289,Dax
289,Sql
290,Preference segmentation
290,Data collection methods
290,Residual analysis
290,Advanced regression modelling
290,Adjusted chi-square
290,BI Visualization tools
290,Ms Excel
290,Tableau
290,Data mining
290,Sql
291,Visio
291,metadata management tools
291,Confluence
291,JIRA
291,Big Data Technologies
292,Market Intelligence
292,Data analytics solutions
292,Data handling framework
292,data models
292,Analytics models
293,Project Management
293,Visio
293,metadata management tools
293,Confluence
293,Agile
293,JIRA
293,Big Data Technologies
294,Gen AI
294,Ms Office
295,Analyst
295,salesforce
296,Sas
297,SAS Configuration
297,Base Sas
297,Sas Macro
297,SAS SQL
297,Sas Base
297,SAS
298,Kafka
298,Azure
298,Python
299,metadata
299,Java
299,python
299,Sql
300,Meta Data
300,metadata lifecycle
300,meta data management
300,Data Governance
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
